num_observations,balanced_accuracy,accuracy,f1_macro,recall,precision,Echinocyte_balanced_accuracy,Echinocyte_accuracy,Echinocyte_f1,Echinocyte_recall,Echinocyte_precision,Discocyte_balanced_accuracy,Discocyte_accuracy,Discocyte_f1,Discocyte_recall,Discocyte_precision,Stomatocyte_balanced_accuracy,Stomatocyte_accuracy,Stomatocyte_f1,Stomatocyte_recall,Stomatocyte_precision
100,0.626073256312936,0.6919642857142857,0.5453574035206955,0.626073256312936,0.5374783631337333,0.6931952512392717,0.4928400954653938,0.5191703331238215,0.4928400954653938,0.548472775564409,0.6915169843597263,0.7523521505376344,0.7989295272078503,0.7523521505376344,0.8516546215290985,0.7493926287987761,0.6330275229357798,0.31797235023041476,0.6330275229357798,0.2123076923076923
201,0.6805290687823438,0.5964781746031746,0.5178676721489398,0.6805290687823438,0.5196067930797598,0.767048299093019,0.8233890214797136,0.5628058727569331,0.8233890214797136,0.4275092936802974,0.700268817204301,0.5255376344086021,0.6695205479452054,0.5255376344086021,0.9221698113207547,0.7714744807878267,0.6926605504587156,0.3212765957446808,0.6926605504587156,0.20914127423822715
403,0.6202772342103319,0.6746031746031746,0.5597266560171023,0.6202772342103319,0.5369772096679585,0.7150287756129856,0.6670644391408115,0.5190343546889508,0.6670644391408115,0.4247720364741641,0.6911809628543499,0.6891801075268817,0.7665856849187068,0.6891801075268817,0.863578947368421,0.7220104107032035,0.5045871559633027,0.39355992844364934,0.5045871559633027,0.3225806451612903
503,0.6134661114293447,0.7130456349206349,0.5882328494278491,0.6134661114293447,0.5740746800265414,0.7160618133941474,0.6252983293556086,0.5295603840323395,0.6252983293556086,0.45924627519719546,0.6897452346041055,0.7563844086021505,0.8003555555555556,0.7563844086021505,0.849754624386561,0.7107421715264381,0.45871559633027525,0.43478260869565216,0.45871559633027525,0.4132231404958678
604,0.6734864712233177,0.6021825396825397,0.5235444603993371,0.6734864712233177,0.5123578439437818,0.699469321206379,0.6885441527446301,0.49316239316239324,0.6885441527446301,0.3841544607190413,0.6915475317693061,0.5658602150537635,0.694003709045951,0.5658602150537635,0.8971763452317528,0.8193148852850194,0.7660550458715596,0.38346727898966704,0.7660550458715596,0.2557427258805513
806,0.664255448172291,0.6227678571428571,0.5234258483313242,0.664255448172291,0.5127814968498505,0.7018933172729895,0.6348448687350835,0.5047438330170778,0.6348448687350835,0.4188976377952756,0.7108840420332356,0.6102150537634409,0.7277098777800038,0.6102150537634409,0.9012406947890819,0.7972931690584664,0.7477064220183486,0.33782383419689116,0.7477064220183486,0.2182061579651941
1007,0.6365594728315945,0.6723710317460317,0.5564197139517842,0.6365594728315945,0.5307028451966498,0.7240787843555114,0.6682577565632458,0.5330794859590671,0.6682577565632458,0.4433887569279493,0.6983748778103617,0.6817876344086021,0.7647945721824351,0.6817876344086021,0.8708154506437769,0.7382590937300049,0.5596330275229358,0.37138508371385087,0.5596330275229358,0.27790432801822323
2015,0.6896956088029947,0.6530257936507936,0.5514651126720093,0.6896956088029947,0.5474304504778792,0.781974107178884,0.7136038186157518,0.624869383490073,0.7136038186157518,0.5557620817843866,0.7268145161290323,0.6307123655913979,0.74484126984127,0.6307123655913979,0.9093992248062015,0.766160884813555,0.7247706422018348,0.28468468468468466,0.7247706422018348,0.17713004484304934
3023,0.6545713835803509,0.6336805555555556,0.5335505200288465,0.6545713835803509,0.5168031851924398,0.726315227088978,0.698090692124105,0.5301314000906208,0.698090692124105,0.42731921110299487,0.699642595307918,0.614247311827957,0.7266944941363546,0.614247311827957,0.8895377128953771,0.7645973549886222,0.6513761467889908,0.34382566585956414,0.6513761467889908,0.23355263157894737
4031,0.6724599101105625,0.6344246031746031,0.5394713878744412,0.6724599101105625,0.5209582023149523,0.7267078935294847,0.6885441527446301,0.5327793167128348,0.6885441527446301,0.43448795180722893,0.697244623655914,0.613239247311828,0.7253577106518283,0.613239247311828,0.8876459143968871,0.7932989517133882,0.7155963302752294,0.36027713625866054,0.7155963302752294,0.24074074074074073
