num_observations,balanced_accuracy,accuracy,f1_macro,recall,precision,Echinocyte_balanced_accuracy,Echinocyte_accuracy,Echinocyte_f1,Echinocyte_recall,Echinocyte_precision,Discocyte_balanced_accuracy,Discocyte_accuracy,Discocyte_f1,Discocyte_recall,Discocyte_precision,Stomatocyte_balanced_accuracy,Stomatocyte_accuracy,Stomatocyte_f1,Stomatocyte_recall,Stomatocyte_precision
100,0.6911226891663761,0.7341269841269841,0.6259891003391204,0.6911226891663761,0.5930688223283243,0.7527826637953323,0.684964200477327,0.5783375314861461,0.684964200477327,0.5004359197907585,0.7432184750733137,0.7553763440860215,0.8162672476397966,0.7553763440860215,0.8878357030015798,0.7883281295853519,0.6330275229357798,0.48336252189141854,0.6330275229357798,0.3909348441926346
201,0.6324965783993969,0.7217261904761905,0.5973447401581984,0.6324965783993969,0.5791508034412876,0.7357605175575326,0.6706443914081146,0.5520628683693518,0.6706443914081146,0.4691151919866444,0.7214076246334311,0.7543682795698925,0.809009009009009,0.7543682795698925,0.8721833721833722,0.7156564660377268,0.4724770642201835,0.4309623430962343,0.4724770642201835,0.39615384615384613
403,0.6569471171560598,0.689484126984127,0.5838717629887495,0.6569471171560598,0.5539433617201179,0.6998993488686275,0.6205250596658711,0.5041202132816287,0.6205250596658711,0.42448979591836733,0.7133583822091887,0.7127016129032258,0.785701055751065,0.7127016129032258,0.8753611225753198,0.7866888286996724,0.6376146788990825,0.46179401993355484,0.6376146788990825,0.3619791666666667
503,0.7108999776844032,0.7366071428571429,0.6377978816383568,0.7108999776844032,0.6077936478592768,0.7971072700454163,0.8042959427207638,0.6174988547869904,0.8042959427207638,0.5011152416356878,0.7690463098729228,0.727486559139785,0.8107096049428948,0.727486559139785,0.9154334038054969,0.7754193868076569,0.6009174311926605,0.48518518518518516,0.6009174311926605,0.40683229813664595
604,0.723083473987909,0.7562003968253969,0.661586925158934,0.723083473987909,0.6301565301296334,0.792454677101905,0.7708830548926014,0.6217516843118382,0.7708830548926014,0.5209677419354839,0.7733687683284458,0.760752688172043,0.8283937065495793,0.760752688172043,0.9092369477911647,0.7974386976037101,0.6376146788990825,0.5346153846153846,0.6376146788990825,0.4602649006622517
806,0.7169660912993971,0.7373511904761905,0.6319932437541366,0.7169660912993971,0.5948171226410797,0.7621547262692728,0.6921241050119332,0.5936540429887411,0.6921241050119332,0.5197132616487455,0.7535434995112414,0.7523521505376344,0.8180489587139202,0.7523521505376344,0.8963170536429144,0.8186016751418002,0.7064220183486238,0.4842767295597483,0.7064220183486238,0.3684210526315789
1007,0.7281386610437797,0.7046130952380952,0.6025157870910811,0.7281386610437797,0.5720856634743757,0.7968468623298757,0.7768496420047732,0.6277724204435872,0.7768496420047732,0.5266990291262136,0.7528561827956989,0.6827956989247311,0.7822906641000963,0.6827956989247311,0.9157278053177107,0.8074561129205293,0.7247706422018348,0.39748427672955977,0.7247706422018348,0.2738301559792028
2015,0.7486380525739297,0.7336309523809523,0.6356593832779109,0.7486380525739297,0.5977786074611071,0.8045059127869528,0.7899761336515513,0.6371511068334936,0.7899761336515513,0.5338709677419354,0.7739491691104594,0.7174059139784946,0.8071833648393195,0.7174059139784946,0.9226447709593777,0.8277086350144085,0.7385321100917431,0.46264367816091956,0.7385321100917431,0.3368200836820084
3023,0.7442013782696547,0.7338789682539683,0.6309751423222271,0.7442013782696547,0.5944458834442622,0.8056222660925991,0.7828162291169452,0.6425073457394711,0.7828162291169452,0.5448504983388704,0.7740408113391984,0.7204301075268817,0.8087514145605433,0.7204301075268817,0.9217540842648323,0.8197129840327524,0.7293577981651376,0.44166666666666665,0.7293577981651376,0.31673306772908366
4031,0.7747508031182034,0.7549603174603174,0.661883555128984,0.7747508031182034,0.6197600039430046,0.8222902279482861,0.8114558472553699,0.6630911750365676,0.8114558472553699,0.560593569661995,0.7901851173020528,0.7375672043010753,0.8225594903503842,0.7375672043010753,0.929690808979246,0.8497279458104616,0.7752293577981652,0.5,0.7752293577981652,0.36899563318777295
