num_observations,balanced_accuracy,accuracy,f1_macro,recall,precision,Echinocyte_balanced_accuracy,Echinocyte_accuracy,Echinocyte_f1,Echinocyte_recall,Echinocyte_precision,Discocyte_balanced_accuracy,Discocyte_accuracy,Discocyte_f1,Discocyte_recall,Discocyte_precision,Stomatocyte_balanced_accuracy,Stomatocyte_accuracy,Stomatocyte_f1,Stomatocyte_recall,Stomatocyte_precision
100,0.6716615889560437,0.7485119047619048,0.6192599207112012,0.6716615889560437,0.5919322778141363,0.7375019241029197,0.6002386634844868,0.5778288340034463,0.6002386634844868,0.5570321151716501,0.7257911779081134,0.8000672043010753,0.8317903930131003,0.8000672043010753,0.8661331393233903,0.7750898428291711,0.6146788990825688,0.4481605351170569,0.6146788990825688,0.3526315789473684
201,0.6910755696873281,0.6964285714285714,0.5986625170196881,0.6910755696873281,0.5727024022759614,0.7843181502309671,0.815035799522673,0.5918544194107452,0.815035799522673,0.46462585034013604,0.7465023216031281,0.6710349462365591,0.7738810308079829,0.6710349462365591,0.9139588100686499,0.7609350870525298,0.5871559633027523,0.43025210084033616,0.5871559633027523,0.3395225464190981
403,0.6921880852841137,0.7802579365079365,0.6695353853333073,0.6921880852841137,0.6552433722650103,0.7850844288888922,0.720763723150358,0.6281851274050961,0.720763723150358,0.5566820276497696,0.7675800342130987,0.8145161290322581,0.8512730465320456,0.8145161290322581,0.8915042294961383,0.7562216459879825,0.5412844036697247,0.5291479820627802,0.5412844036697247,0.5175438596491229
503,0.7151062808261894,0.7465277777777778,0.6512058542262538,0.7151062808261894,0.6240579087849739,0.8002766224857766,0.8090692124105012,0.621448212648946,0.8090692124105012,0.5044642857142857,0.7766831622678396,0.7399193548387096,0.8193488372093023,0.7399193548387096,0.9178824510212589,0.7773208796178253,0.5963302752293578,0.5128205128205129,0.5963302752293578,0.44982698961937717
604,0.7119715344293914,0.7963789682539683,0.6898747693865314,0.7119715344293914,0.6744436681334113,0.8014213703199465,0.7374701670644391,0.6553552492046659,0.7374701670644391,0.5896946564885496,0.7803488514173997,0.8296370967741935,0.8619305288881132,0.8296370967741935,0.8968398111151471,0.7703764017646239,0.5688073394495413,0.5523385300668151,0.5688073394495413,0.5367965367965368
806,0.7522369060968943,0.7410714285714286,0.6419586494213361,0.7522369060968943,0.60258137313074,0.80209237786243,0.7673031026252983,0.6423576423576424,0.7673031026252983,0.552405498281787,0.769672531769306,0.7325268817204301,0.8134328358208955,0.7325268817204301,0.9144295302013423,0.8366207550165253,0.7568807339449541,0.4700854700854701,0.7568807339449541,0.3409090909090909
1007,0.7382753453502451,0.7145337301587301,0.6116079890736459,0.7382753453502451,0.5798162108582637,0.7998122224995254,0.7708830548926014,0.636139832594781,0.7708830548926014,0.5414920368818106,0.7614705522971652,0.696236559139785,0.7922003441024661,0.696236559139785,0.9188470066518847,0.8186618109042976,0.7477064220183486,0.40648379052369077,0.7477064220183486,0.2791095890410959
2015,0.7488169486546642,0.7428075396825397,0.6377266008058822,0.7488169486546642,0.6007088331515812,0.81621716135415,0.7911694510739857,0.6603585657370518,0.7911694510739857,0.5666666666666667,0.7781341642228738,0.730510752688172,0.8151481064866891,0.730510752688172,0.9219677692960135,0.8170261181643679,0.7247706422018348,0.43767313019390575,0.7247706422018348,0.3134920634920635
3023,0.747896467068622,0.7371031746031746,0.6306198130480869,0.747896467068622,0.5956014206690537,0.8080115162229897,0.7684964200477327,0.6541391569324531,0.7684964200477327,0.5694076038903625,0.7752016129032258,0.727486559139785,0.8126876876876878,0.727486559139785,0.9204931972789115,0.8232501695828502,0.7477064220183486,0.4250325945241199,0.7477064220183486,0.29690346083788705
4031,0.7552622474054537,0.7527281746031746,0.647558267430047,0.7552622474054537,0.6091157083413322,0.8164532842755584,0.7816229116945107,0.665650406504065,0.7816229116945107,0.5796460176991151,0.7828537390029325,0.7456317204301075,0.8241411327762302,0.7456317204301075,0.921129099211291,0.8257421955807431,0.7385321100917431,0.4528832630098453,0.7385321100917431,0.3265720081135903
