feature,importance
circularity,1.0
original_glrlm_ShortRunHighGrayLevelEmphasis,0.36616567813311934
original_firstorder_InterquartileRange,0.15434476844213893
original_glrlm_RunLengthNonUniformityNormalized,0.12048756849815653
aspect_ratio,0.08796231832771109
solidity,0.08360147576212974
original_firstorder_Kurtosis,0.07257594515698651
equivalent_diameter,0.06769443002047552
original_firstorder_MeanAbsoluteDeviation,0.06450989584956766
bbox_area,0.044155051543363924
perimeter_crofton,0.03970127083326208
original_glcm_JointEntropy,0.03606597261212351
feret_diameter_max,0.03457298268364219
convex_area,0.029035552763907735
original_glszm_LargeAreaEmphasis,0.025854827284413694
orientation,0.025102686312163502
original_glcm_MCC,0.02282543901015114
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.019226785559451474
original_firstorder_Range,0.010165369741160661
original_glszm_SmallAreaHighGrayLevelEmphasis,0.009652624140255769
original_ngtdm_Contrast,0.0
original_glszm_GrayLevelVariance,0.0
original_glszm_GrayLevelNonUniformity,0.0
original_glrlm_ShortRunLowGrayLevelEmphasis,0.0
major_axis_length,0.0
original_glrlm_ShortRunEmphasis,0.0
original_glrlm_RunVariance,0.0
original_glrlm_RunPercentage,0.0
minor_axis_length,0.0
original_glrlm_RunLengthNonUniformity,0.0
original_glrlm_RunEntropy,0.0
original_glrlm_LowGrayLevelRunEmphasis,0.0
perimeter,0.0
original_glrlm_LongRunLowGrayLevelEmphasis,0.0
original_glrlm_LongRunHighGrayLevelEmphasis,0.0
original_glrlm_LongRunEmphasis,0.0
original_glrlm_HighGrayLevelRunEmphasis,0.0
original_glszm_GrayLevelNonUniformityNormalized,0.0
original_glszm_HighGrayLevelZoneEmphasis,0.0
original_ngtdm_Complexity,0.0
eccentricity,0.0
original_ngtdm_Coarseness,0.0
original_ngtdm_Busyness,0.0
original_glszm_ZoneVariance,0.0
original_glszm_ZonePercentage,0.0
original_glszm_ZoneEntropy,0.0
original_glszm_SmallAreaLowGrayLevelEmphasis,0.0
original_glrlm_GrayLevelNonUniformityNormalized,0.0
original_glszm_SmallAreaEmphasis,0.0
original_glszm_SizeZoneNonUniformityNormalized,0.0
original_glszm_SizeZoneNonUniformity,0.0
original_glszm_LowGrayLevelZoneEmphasis,0.0
original_glszm_LargeAreaLowGrayLevelEmphasis,0.0
original_glszm_LargeAreaHighGrayLevelEmphasis,0.0
original_ngtdm_Strength,0.0
area,0.0
original_glrlm_GrayLevelVariance,0.0
original_firstorder_10Percentile,0.0
original_glrlm_GrayLevelNonUniformity,0.0
original_glcm_Idm,0.0
original_glcm_DifferenceVariance,0.0
original_glcm_DifferenceEntropy,0.0
original_glcm_DifferenceAverage,0.0
original_glcm_Correlation,0.0
original_glcm_Contrast,0.0
original_glcm_ClusterTendency,0.0
original_glcm_ClusterShade,0.0
original_glcm_ClusterProminence,0.0
original_glcm_Autocorrelation,0.0
original_firstorder_Variance,0.0
original_firstorder_Uniformity,0.0
original_firstorder_TotalEnergy,0.0
original_firstorder_Skewness,0.0
original_firstorder_RootMeanSquared,0.0
original_firstorder_RobustMeanAbsoluteDeviation,0.0
original_firstorder_Minimum,0.0
original_firstorder_Median,0.0
original_firstorder_Mean,0.0
original_firstorder_Maximum,0.0
original_firstorder_Entropy,0.0
original_firstorder_Energy,0.0
original_glcm_Id,0.0
original_glcm_Idmn,0.0
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.0
original_glcm_Idn,0.0
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.0
original_firstorder_90Percentile,0.0
original_gldm_LowGrayLevelEmphasis,0.0
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.0
original_gldm_LargeDependenceEmphasis,0.0
original_gldm_HighGrayLevelEmphasis,0.0
original_gldm_GrayLevelVariance,0.0
original_gldm_GrayLevelNonUniformity,0.0
original_gldm_DependenceVariance,0.0
original_gldm_DependenceNonUniformityNormalized,0.0
original_gldm_DependenceNonUniformity,0.0
original_gldm_DependenceEntropy,0.0
original_glcm_SumSquares,0.0
original_glcm_SumEntropy,0.0
original_glcm_SumAverage,0.0
original_glcm_MaximumProbability,0.0
original_glcm_JointEnergy,0.0
original_glcm_JointAverage,0.0
original_glcm_InverseVariance,0.0
original_glcm_Imc2,0.0
original_glcm_Imc1,0.0
original_gldm_SmallDependenceEmphasis,0.0
