num_observations,balanced_accuracy,accuracy,f1_macro,recall,precision,Stomatocyte_balanced_accuracy,Stomatocyte_accuracy,Stomatocyte_f1,Stomatocyte_recall,Stomatocyte_precision,Echinocyte_balanced_accuracy,Echinocyte_accuracy,Echinocyte_f1,Echinocyte_recall,Echinocyte_precision,Discocyte_balanced_accuracy,Discocyte_accuracy,Discocyte_f1,Discocyte_recall,Discocyte_precision
100,0.5188048222218397,0.5572916666666666,0.38068180898156573,0.5188048222218397,0.4082837427217394,0.6455592141128241,0.49586776859504134,0.210896309314587,0.49586776859504134,0.13392857142857142,0.6258682516376779,0.4934210526315789,0.22140221402214022,0.4934210526315789,0.142721217887726,0.6846617238183503,0.5671256454388984,0.7097469036079699,0.5671256454388984,0.9482014388489208
201,0.6907600887611841,0.6190476190476191,0.46759644593735916,0.6907600887611841,0.4656736802156567,0.7096131620837786,0.5991735537190083,0.27128157156220767,0.5991735537190083,0.17533252720677148,0.8318133047210301,0.875,0.3917525773195876,0.875,0.2523719165085389,0.7386137958427115,0.5981067125645438,0.7397551889302821,0.5981067125645438,0.9693165969316597
403,0.6699147352682546,0.5171130952380952,0.41808564283632393,0.6699147352682546,0.4534946019897413,0.7319980810745983,0.5909090909090909,0.3302540415704388,0.5909090909090909,0.22916666666666666,0.7844053535125367,0.944078947368421,0.2884422110552764,0.944078947368421,0.17022538552787664,0.6760227724083145,0.47475616752725186,0.6355606758832566,0.47475616752725186,0.9610917537746806
503,0.6603537329167121,0.6654265873015873,0.48769074152398656,0.6603537329167121,0.47315198569603084,0.7273850280206721,0.5661157024793388,0.34207240948813983,0.5661157024793388,0.24508050089445438,0.7643508583690988,0.75,0.3360353721444363,0.75,0.21652421652421652,0.7390661547288053,0.6649454962707975,0.7849644429393836,0.6649454962707975,0.9578512396694215
604,0.6487269008093935,0.6525297619047619,0.4709018725107795,0.6487269008093935,0.462962902497225,0.689311803571818,0.512396694214876,0.284077892325315,0.512396694214876,0.196513470681458,0.7821394285068896,0.7828947368421053,0.3507737656595431,0.7828947368421053,0.22602089268755934,0.7531003133412772,0.6508892713711991,0.7778539595474804,0.6508892713711991,0.9663543441226575
806,0.7164001861752194,0.7299107142857143,0.5436359613150136,0.7164001861752194,0.5065842980090124,0.7197354935781417,0.5537190082644629,0.3312731767614339,0.5537190082644629,0.23633156966490299,0.858397334538062,0.8651315789473685,0.46964285714285714,0.8651315789473685,0.32230392156862747,0.7708526413345691,0.7303499713138267,0.8299918500407497,0.7303499713138267,0.961117402793507
1007,0.6854565832667233,0.7242063492063492,0.5326961376784073,0.6854565832667233,0.4984708907165789,0.7090047755075339,0.5578512396694215,0.29768467475192945,0.5578512396694215,0.20300751879699247,0.8232719674723289,0.7664473684210527,0.47357723577235766,0.7664473684210527,0.3426470588235294,0.7424091972284743,0.7320711417096959,0.8268265025109347,0.7320711417096959,0.9497580945292148
2015,0.6893391156123906,0.5228174603174603,0.4239449761520422,0.6893391156123906,0.4564138981654915,0.7544146187226063,0.6528925619834711,0.33403805496828753,0.6528925619834711,0.22443181818181818,0.7914431330472103,0.9375,0.29827315541601257,0.9375,0.17734909769757312,0.687530341144799,0.4776247848537005,0.6395237180718264,0.4776247848537005,0.9674607786170831
3023,0.6817968034028447,0.8402777777777778,0.6267513032039449,0.6817968034028447,0.5908009519360699,0.7241850018535074,0.5082644628099173,0.4155405405405405,0.5082644628099173,0.3514285714285714,0.8002456516828552,0.6578947368421053,0.5571030640668524,0.6578947368421053,0.4830917874396135,0.7537181693808199,0.8792312105565118,0.9076103050044418,0.8792312105565118,0.9378824969400245
4031,0.7463228813678459,0.6493055555555556,0.5073435641322934,0.7463228813678459,0.4910559561413647,0.792398438692514,0.7148760330578512,0.3810572687224669,0.7148760330578512,0.25975975975975973,0.8358510277840524,0.9013157894736842,0.3821478382147839,0.9013157894736842,0.2424778761061947,0.7518646012621917,0.6227768215720023,0.7588255854596294,0.6227768215720023,0.9709302325581395
