num_observations,balanced_accuracy,accuracy,f1_macro,recall,precision,Stomatocyte_balanced_accuracy,Stomatocyte_accuracy,Stomatocyte_f1,Stomatocyte_recall,Stomatocyte_precision,Echinocyte_balanced_accuracy,Echinocyte_accuracy,Echinocyte_f1,Echinocyte_recall,Echinocyte_precision,Discocyte_balanced_accuracy,Discocyte_accuracy,Discocyte_f1,Discocyte_recall,Discocyte_precision
100,0.6386949390386585,0.8343253968253969,0.5923287045968705,0.6386949390386585,0.5625500341028151,0.6924911140670316,0.4380165289256198,0.38615664845173037,0.4380165289256198,0.34527687296416937,0.7617531624124689,0.5953947368421053,0.4807436918990704,0.5953947368421053,0.40311804008908686,0.7591023434396929,0.8826735513482501,0.9100857734398108,0.8826735513482501,0.9392551892551892
201,0.7351369218875128,0.7911706349206349,0.6010771218301644,0.7351369218875128,0.5533827829483322,0.7508231753854205,0.5702479338842975,0.43125,0.5702479338842975,0.34673366834170855,0.8546913824260222,0.8322368421052632,0.49852216748768474,0.8322368421052632,0.3558368495077356,0.7879098812833754,0.8029259896729777,0.8734591980028086,0.8029259896729777,0.9575778309955525
403,0.7416721506045308,0.6760912698412699,0.520087106478859,0.7416721506045308,0.49553886624644045,0.7582786366907259,0.6859504132231405,0.3161904761904762,0.6859504132231405,0.20544554455445543,0.8613903320533092,0.881578947368421,0.4604810996563574,0.881578947368421,0.3116279069767442,0.7628094796769496,0.657487091222031,0.7835897435897435,0.657487091222031,0.9695431472081218
503,0.7331553788217765,0.7767857142857143,0.5872304693739863,0.7331553788217765,0.5394245373953768,0.7469079133866853,0.5785123966942148,0.3982930298719772,0.5785123966942148,0.3036876355748373,0.8564702394398012,0.8355263157894737,0.5004926108374383,0.8355263157894737,0.35724331926863573,0.7809921002692087,0.7854274239816409,0.8629057674125434,0.7854274239816409,0.9573426573426573
604,0.7571701759709772,0.7554563492063492,0.5785476808645784,0.7571701759709772,0.532052650720891,0.768005189820973,0.640495867768595,0.3909205548549811,0.640495867768595,0.2813067150635209,0.8719505308335216,0.8782894736842105,0.4981343283582089,0.8782894736842105,0.34765625,0.7948607617282316,0.7527251864601262,0.8465881593805452,0.7527251864601262,0.9671949870991522
806,0.7806714388363952,0.796875,0.6226363288899753,0.7806714388363952,0.5662934006076142,0.7934603894546326,0.6776859504132231,0.43733333333333335,0.6776859504132231,0.3228346456692913,0.8816001242376328,0.8651315789473685,0.5554382259767687,0.8651315789473685,0.40902021772939345,0.8126020565779601,0.7991967871485943,0.875137427359824,0.7991967871485943,0.9670253384241583
1007,0.7501306724443291,0.7983630952380952,0.6120611620475902,0.7501306724443291,0.5596654301642212,0.7687542249067795,0.6322314049586777,0.40583554376657827,0.6322314049586777,0.298828125,0.8587361644454483,0.8092105263157895,0.5515695067264574,0.8092105263157895,0.41836734693877553,0.8019109404651573,0.8089500860585198,0.8787784356497351,0.8089500860585198,0.9618008185538881
2015,0.7740120468618191,0.857390873015873,0.6828275224695582,0.7740120468618191,0.6309024356932409,0.7911347827035042,0.6487603305785123,0.4823348694316436,0.6487603305785123,0.38386308068459657,0.8712022814547098,0.7960526315789473,0.6487935656836461,0.7960526315789473,0.5475113122171946,0.8259742265766362,0.8772231784279977,0.9173541322933852,0.8772231784279977,0.9613329141779314
3023,0.789644316406869,0.8013392857142857,0.6306690461166812,0.789644316406869,0.573564137422654,0.8044484179768421,0.7107438016528925,0.4300000000000001,0.7107438016528925,0.30824372759856633,0.8837742828100293,0.8552631578947368,0.5836139169472503,0.8552631578947368,0.44293015332197616,0.8208769142504082,0.8029259896729777,0.8783932214027932,0.8029259896729777,0.9695185313474195
4031,0.7869119396869152,0.8338293650793651,0.6604661570959697,0.7869119396869152,0.6019693689464957,0.8001886216446064,0.6776859504132231,0.46924177396280403,0.6776859504132231,0.3588621444201313,0.8823907273548679,0.8388157894736842,0.6107784431137725,0.8388157894736842,0.480225988700565,0.8296261970960765,0.8442340791738382,0.9013782542113322,0.8442340791738382,0.966819973718791
