num_observations,balanced_accuracy,accuracy,f1_macro,recall,precision,Stomatocyte_balanced_accuracy,Stomatocyte_accuracy,Stomatocyte_f1,Stomatocyte_recall,Stomatocyte_precision,Echinocyte_balanced_accuracy,Echinocyte_accuracy,Echinocyte_f1,Echinocyte_recall,Echinocyte_precision,Discocyte_balanced_accuracy,Discocyte_accuracy,Discocyte_f1,Discocyte_recall,Discocyte_precision
100,0.6218919361033272,0.5900297619047619,0.44026175968930586,0.6218919361033272,0.44471282282776464,0.5898569528336859,0.4132231404958678,0.16299918500407495,0.4132231404958678,0.10152284263959391,0.8531384120171674,0.875,0.44370308590492086,0.875,0.29720670391061454,0.6614369566176795,0.5774526678141136,0.7140830081589217,0.5774526678141136,0.9354089219330854
201,0.7251064314425415,0.8038194444444444,0.6147325503964415,0.7251064314425415,0.5869216397636341,0.7243212891689744,0.4834710743801653,0.47657841140529533,0.4834710743801653,0.46987951807228917,0.865710413372487,0.8717105263157895,0.48534798534798534,0.8717105263157895,0.3362944162436548,0.7855267222737102,0.8201376936316696,0.8822712544360438,0.8201376936316696,0.9545909849749583
403,0.7293462619923968,0.6577380952380952,0.5033449082466798,0.7293462619923968,0.48496120423826067,0.7487417955036089,0.6528925619834711,0.3195146612740142,0.6528925619834711,0.21151271753681392,0.8529831149762819,0.8980263157894737,0.4222737819025522,0.8980263157894737,0.27603640040444893,0.7498786354208041,0.6371199082042456,0.7682462815634729,0.6371199082042456,0.9673344947735192
503,0.7283149822097479,0.6450892857142857,0.4956111215154489,0.7283149822097479,0.48128429598952155,0.7493992455134215,0.6652892561983471,0.3114119922630561,0.6652892561983471,0.2032828282828283,0.851373672916196,0.8980263157894737,0.4183908045977011,0.8980263157894737,0.2727272727272727,0.7448806213866455,0.6216293746414229,0.7570305676855895,0.6216293746414229,0.9678427869584636
604,0.7339897245104198,0.660218253968254,0.5071402124484669,0.7339897245104198,0.4876719305839417,0.7538825530430231,0.6776859504132231,0.3123809523809524,0.6776859504132231,0.20297029702970298,0.8548537384233115,0.8848684210526315,0.4388254486133768,0.8848684210526315,0.2917570498915401,0.7528575841828854,0.6394148020654045,0.7702142363510711,0.6394148020654045,0.9682884448305821
806,0.7616006497873679,0.7333829365079365,0.5650222665009978,0.7616006497873679,0.5225910504669484,0.7842659020039686,0.6983471074380165,0.3743078626799557,0.6983471074380165,0.2556732223903177,0.8639950869663429,0.8618421052631579,0.492018779342723,0.8618421052631579,0.3442838370565046,0.7853832914073877,0.7246127366609294,0.8287401574803149,0.7246127366609294,0.967816091954023
1007,0.7470031329776531,0.6870039682539683,0.5329874223716066,0.7470031329776531,0.5055812638110116,0.7583636799755773,0.7024793388429752,0.3046594982078853,0.7024793388429752,0.1945080091533181,0.8692963632256607,0.868421052631579,0.5019011406844107,0.868421052631579,0.35294117647058826,0.7672889359636348,0.6701090074584051,0.7924016282225237,0.6701090074584051,0.9692946058091286
2015,0.7626669554416426,0.7894345238095238,0.6097963803003803,0.7626669554416426,0.5563944672018616,0.7817658474890425,0.6611570247933884,0.4145077720207254,0.6611570247933884,0.3018867924528302,0.8660915970182967,0.8322368421052632,0.5440860215053763,0.8322368421052632,0.40415335463258784,0.8002339026435412,0.7946069994262766,0.8707953473750393,0.7946069994262766,0.9631432545201669
3023,0.7669126349013361,0.7926587301587301,0.6146541756162209,0.7669126349013361,0.5612156324869074,0.7776761377265096,0.6611570247933884,0.3985056039850561,0.6611570247933884,0.28520499108734404,0.8761223740682178,0.8421052631578947,0.5720670391061452,0.8421052631578947,0.43316412859560066,0.8071627168012709,0.7974756167527252,0.8733898837574615,0.7974756167527252,0.9652777777777778
4031,0.7676823410379644,0.7614087301587301,0.5903374757684849,0.7676823410379644,0.5430545410096566,0.7839573475217514,0.7024793388429752,0.368763557483731,0.7024793388429752,0.25,0.8715622882313079,0.8421052631578947,0.551130247578041,0.8421052631578947,0.4096,0.8032238845491857,0.7584624211130235,0.8511186222436826,0.7584624211130235,0.9695636230289696
