feature,importance
minor_axis_length,1.0
feret_diameter_max,0.6848051075190389
original_shape2D_Sphericity,0.36905251778303694
major_axis_length,0.28702236992842306
eccentricity,0.16684648577162378
aspect_ratio,0.12353499642426727
original_gldm_DependenceVariance,0.08703572271872816
original_shape2D_MaximumDiameter,0.0
original_glrlm_RunLengthNonUniformityNormalized,0.0
original_glrlm_RunPercentage,0.0
original_glrlm_RunVariance,0.0
original_glrlm_ShortRunEmphasis,0.0
original_glrlm_ShortRunLowGrayLevelEmphasis,0.0
original_glrlm_ShortRunHighGrayLevelEmphasis,0.0
original_glrlm_RunEntropy,0.0
original_glszm_GrayLevelNonUniformity,0.0
original_glszm_GrayLevelNonUniformityNormalized,0.0
original_glrlm_RunLengthNonUniformity,0.0
original_glrlm_LongRunEmphasis,0.0
original_glrlm_LowGrayLevelRunEmphasis,0.0
original_glrlm_LongRunLowGrayLevelEmphasis,0.0
original_glrlm_LongRunHighGrayLevelEmphasis,0.0
original_glszm_HighGrayLevelZoneEmphasis,0.0
original_glrlm_HighGrayLevelRunEmphasis,0.0
original_glrlm_GrayLevelVariance,0.0
original_glrlm_GrayLevelNonUniformityNormalized,0.0
original_glrlm_GrayLevelNonUniformity,0.0
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.0
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.0
original_glszm_GrayLevelVariance,0.0
original_glszm_LowGrayLevelZoneEmphasis,0.0
original_glszm_LargeAreaEmphasis,0.0
original_glszm_LargeAreaHighGrayLevelEmphasis,0.0
solidity,0.0
perimeter,0.0
equivalent_diameter,0.0
convex_area,0.0
bbox_area,0.0
area,0.0
original_ngtdm_Strength,0.0
original_ngtdm_Contrast,0.0
original_ngtdm_Complexity,0.0
original_ngtdm_Coarseness,0.0
original_ngtdm_Busyness,0.0
original_glszm_ZoneVariance,0.0
original_glszm_ZonePercentage,0.0
original_glszm_ZoneEntropy,0.0
original_glszm_SmallAreaLowGrayLevelEmphasis,0.0
original_glszm_SmallAreaHighGrayLevelEmphasis,0.0
original_glszm_SmallAreaEmphasis,0.0
original_glszm_SizeZoneNonUniformityNormalized,0.0
original_glszm_SizeZoneNonUniformity,0.0
original_gldm_LowGrayLevelEmphasis,0.0
original_glszm_LargeAreaLowGrayLevelEmphasis,0.0
original_gldm_SmallDependenceEmphasis,0.0
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.0
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.0
original_glcm_Correlation,0.0
original_glcm_ClusterTendency,0.0
original_glcm_ClusterShade,0.0
original_glcm_ClusterProminence,0.0
original_glcm_Autocorrelation,0.0
original_firstorder_Variance,0.0
original_firstorder_Uniformity,0.0
original_firstorder_TotalEnergy,0.0
original_firstorder_Skewness,0.0
original_firstorder_RootMeanSquared,0.0
original_firstorder_RobustMeanAbsoluteDeviation,0.0
original_firstorder_Range,0.0
original_firstorder_Minimum,0.0
original_firstorder_Median,0.0
original_firstorder_Mean,0.0
original_firstorder_MeanAbsoluteDeviation,0.0
original_firstorder_Maximum,0.0
original_firstorder_Kurtosis,0.0
original_firstorder_InterquartileRange,0.0
original_firstorder_Entropy,0.0
original_firstorder_Energy,0.0
original_firstorder_90Percentile,0.0
original_firstorder_10Percentile,0.0
original_shape2D_PixelSurface,0.0
original_glcm_Contrast,0.0
original_glcm_DifferenceAverage,0.0
original_shape2D_PerimeterSurfaceRatio,0.0
original_glcm_DifferenceEntropy,0.0
original_gldm_LargeDependenceEmphasis,0.0
original_gldm_HighGrayLevelEmphasis,0.0
original_gldm_GrayLevelVariance,0.0
original_gldm_GrayLevelNonUniformity,0.0
original_gldm_DependenceNonUniformityNormalized,0.0
original_gldm_DependenceNonUniformity,0.0
original_gldm_DependenceEntropy,0.0
original_glcm_SumSquares,0.0
original_glcm_SumEntropy,0.0
original_glcm_SumAverage,0.0
original_glcm_MaximumProbability,0.0
original_glcm_MCC,0.0
original_glcm_JointEntropy,0.0
original_glcm_JointEnergy,0.0
original_glcm_JointAverage,0.0
original_glcm_InverseVariance,0.0
original_glcm_Imc2,0.0
original_glcm_Imc1,0.0
original_glcm_Idn,0.0
original_glcm_Idmn,0.0
original_glcm_Idm,0.0
original_glcm_Id,0.0
original_glcm_DifferenceVariance,0.0
extent,0.0
