feature,importance
original_shape2D_MaximumDiameter,1.0
eccentricity,0.9680102367242482
extent,0.9625719769673704
aspect_ratio,0.2891874600127959
feret_diameter_max,0.2779910428662828
original_firstorder_Maximum,0.1855406269993602
original_ngtdm_Busyness,0.11612284069097889
original_shape2D_Sphericity,0.08157389635316699
major_axis_length,0.08125399872040946
original_firstorder_Range,0.0582213691618682
minor_axis_length,0.025591810620601407
bbox_area,0.01983365323096609
original_firstorder_Minimum,0.014075495841330775
perimeter,0.007677543186180422
original_shape2D_PerimeterSurfaceRatio,0.0067178502879078695
original_glcm_ClusterProminence,0.003198976327575176
original_shape2D_PixelSurface,0.0025591810620601407
original_firstorder_MeanAbsoluteDeviation,0.0022392834293026233
original_glcm_ClusterShade,0.001599488163787588
solidity,0.0012795905310300703
original_glcm_Imc2,0.0009596928982725527
area,0.0009596928982725527
original_firstorder_Kurtosis,0.0009596928982725527
original_firstorder_10Percentile,0.0006397952655150352
original_glrlm_GrayLevelNonUniformityNormalized,0.0006397952655150352
original_glszm_LowGrayLevelZoneEmphasis,0.0003198976327575176
original_gldm_GrayLevelNonUniformity,0.0003198976327575176
original_firstorder_90Percentile,0.0003198976327575176
original_firstorder_Energy,0.0003198976327575176
original_glrlm_LowGrayLevelRunEmphasis,0.0003198976327575176
original_firstorder_Variance,0.0003198976327575176
original_glrlm_RunLengthNonUniformity,0.0
original_glrlm_RunEntropy,0.0
original_glrlm_RunLengthNonUniformityNormalized,0.0
original_glrlm_RunPercentage,0.0
original_glrlm_RunVariance,0.0
original_glrlm_ShortRunEmphasis,0.0
original_glszm_HighGrayLevelZoneEmphasis,0.0
original_glrlm_ShortRunHighGrayLevelEmphasis,0.0
original_glrlm_ShortRunLowGrayLevelEmphasis,0.0
original_glrlm_LongRunLowGrayLevelEmphasis,0.0
original_glszm_GrayLevelNonUniformity,0.0
original_glszm_GrayLevelNonUniformityNormalized,0.0
original_glszm_GrayLevelVariance,0.0
original_glszm_ZoneEntropy,0.0
original_glszm_LargeAreaEmphasis,0.0
original_glszm_LargeAreaHighGrayLevelEmphasis,0.0
equivalent_diameter,0.0
convex_area,0.0
original_ngtdm_Strength,0.0
original_ngtdm_Contrast,0.0
original_ngtdm_Complexity,0.0
original_ngtdm_Coarseness,0.0
original_glszm_ZoneVariance,0.0
original_glszm_ZonePercentage,0.0
original_glrlm_LongRunEmphasis,0.0
original_glszm_SmallAreaLowGrayLevelEmphasis,0.0
original_glszm_SmallAreaHighGrayLevelEmphasis,0.0
original_glszm_SmallAreaEmphasis,0.0
original_glszm_SizeZoneNonUniformityNormalized,0.0
original_glszm_SizeZoneNonUniformity,0.0
original_glszm_LargeAreaLowGrayLevelEmphasis,0.0
original_glrlm_LongRunHighGrayLevelEmphasis,0.0
original_gldm_LowGrayLevelEmphasis,0.0
original_glrlm_HighGrayLevelRunEmphasis,0.0
original_glcm_Imc1,0.0
original_glcm_Idmn,0.0
original_glcm_Idm,0.0
original_glcm_Id,0.0
original_glcm_DifferenceVariance,0.0
original_glcm_DifferenceEntropy,0.0
original_glcm_DifferenceAverage,0.0
original_glcm_Correlation,0.0
original_glcm_Contrast,0.0
original_glcm_ClusterTendency,0.0
original_glcm_Autocorrelation,0.0
original_firstorder_Uniformity,0.0
original_firstorder_TotalEnergy,0.0
original_firstorder_Skewness,0.0
original_firstorder_RootMeanSquared,0.0
original_firstorder_RobustMeanAbsoluteDeviation,0.0
original_firstorder_Median,0.0
original_firstorder_Mean,0.0
original_firstorder_InterquartileRange,0.0
original_firstorder_Entropy,0.0
original_glcm_Idn,0.0
original_glcm_InverseVariance,0.0
original_glrlm_GrayLevelVariance,0.0
original_glcm_JointAverage,0.0
original_glrlm_GrayLevelNonUniformity,0.0
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.0
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.0
original_gldm_SmallDependenceEmphasis,0.0
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.0
original_gldm_LargeDependenceEmphasis,0.0
original_gldm_HighGrayLevelEmphasis,0.0
original_gldm_GrayLevelVariance,0.0
original_gldm_DependenceVariance,0.0
original_gldm_DependenceNonUniformityNormalized,0.0
original_gldm_DependenceNonUniformity,0.0
original_gldm_DependenceEntropy,0.0
original_glcm_SumSquares,0.0
original_glcm_SumEntropy,0.0
original_glcm_SumAverage,0.0
original_glcm_MaximumProbability,0.0
original_glcm_MCC,0.0
original_glcm_JointEntropy,0.0
original_glcm_JointEnergy,0.0
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.0
