feature,importance
eccentricity,1.0
aspect_ratio,0.8648539923114222
minor_axis_length,0.08208681136463843
original_shape2D_Sphericity,0.027238849847292763
extent,0.005670661861173326
original_firstorder_Kurtosis,0.004267577072208917
original_glcm_ClusterShade,0.0036736464173770947
original_ngtdm_Busyness,0.0033255571314625655
original_firstorder_Maximum,0.001973470007709131
original_firstorder_Mean,0.0016878146857261021
original_firstorder_10Percentile,0.0016807101914011015
original_firstorder_RootMeanSquared,0.0016339744805487796
original_firstorder_Minimum,0.001456116276636085
feret_diameter_max,0.0012616583173576217
original_firstorder_TotalEnergy,0.0012273846967348109
original_firstorder_Energy,0.0011873315989102792
original_firstorder_Range,0.0011619591937917855
original_firstorder_Variance,0.001077543342395578
original_shape2D_MaximumDiameter,0.0010644102743501526
original_firstorder_90Percentile,0.0009636377891014983
original_shape2D_PerimeterSurfaceRatio,0.0009458835123172775
original_firstorder_MeanAbsoluteDeviation,0.0008880551240995089
bbox_area,0.000812262427091962
original_firstorder_RobustMeanAbsoluteDeviation,0.0007632166449303287
original_firstorder_InterquartileRange,0.0007001674148362801
original_glrlm_GrayLevelNonUniformity,0.0005737246701996232
perimeter,0.0005607724474186323
original_ngtdm_Strength,0.00047244606425505577
original_glcm_SumSquares,0.00046210835601586813
original_gldm_GrayLevelNonUniformity,0.0004602694147166244
solidity,0.0003806421183121713
original_glszm_SmallAreaEmphasis,0.00034170532410802767
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.00034107633915745266
original_ngtdm_Coarseness,0.00033647387711586513
original_glrlm_ShortRunLowGrayLevelEmphasis,0.0003047857781883369
original_shape2D_PixelSurface,0.00029790875329967686
original_glszm_SmallAreaHighGrayLevelEmphasis,0.0002894436242441271
major_axis_length,0.0002700090043986289
original_glszm_GrayLevelNonUniformityNormalized,0.0002679534999258697
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.00025909290003954056
equivalent_diameter,0.00022211381651902296
original_glrlm_ShortRunHighGrayLevelEmphasis,0.00021729080864236845
original_gldm_LowGrayLevelEmphasis,0.00019440213111638057
original_gldm_DependenceEntropy,0.00018923128372262573
original_glszm_SmallAreaLowGrayLevelEmphasis,0.0001803965036910577
original_firstorder_Uniformity,0.00017747003927478437
original_glrlm_RunVariance,0.0001666598039596924
original_glszm_GrayLevelNonUniformity,0.00016273473347731257
original_glcm_ClusterTendency,0.00014677670575994944
original_glszm_SizeZoneNonUniformityNormalized,0.00014674307561483437
original_glcm_MaximumProbability,0.0001372841390251235
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.00013636403279744305
original_glcm_MCC,0.00013034241959029554
original_glrlm_GrayLevelVariance,0.0001293819196268452
original_glszm_LowGrayLevelZoneEmphasis,0.00012894705188321948
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.0001282855413651942
original_glrlm_HighGrayLevelRunEmphasis,0.00012599046167866232
convex_area,0.00012436910929239053
original_gldm_DependenceVariance,0.00011547496516812854
original_ngtdm_Contrast,0.00010741375694027928
original_glcm_Imc2,0.00010123918412622357
original_firstorder_Skewness,9.817515345481988e-05
original_glszm_GrayLevelVariance,9.71810262377294e-05
original_firstorder_Entropy,9.521074387043002e-05
original_glrlm_ShortRunEmphasis,9.138922787160273e-05
original_glszm_LargeAreaEmphasis,7.973023844872341e-05
original_glcm_SumEntropy,7.858563493827129e-05
original_glszm_LargeAreaLowGrayLevelEmphasis,7.858445299974956e-05
original_glszm_HighGrayLevelZoneEmphasis,7.742933362933445e-05
area,7.678521922845954e-05
original_glrlm_RunLengthNonUniformityNormalized,7.676815607688836e-05
original_glcm_InverseVariance,7.017547486414976e-05
original_glszm_ZoneEntropy,6.70361066800135e-05
original_glcm_ClusterProminence,5.634472370107127e-05
original_glcm_JointEntropy,5.634394624524833e-05
original_gldm_DependenceNonUniformityNormalized,5.373922428346158e-05
original_glrlm_RunLengthNonUniformity,5.3556498713850544e-05
original_glrlm_LongRunLowGrayLevelEmphasis,5.0095547404114354e-05
original_firstorder_Median,4.6624658282588114e-05
original_gldm_DependenceNonUniformity,4.4741286721792234e-05
original_glrlm_GrayLevelNonUniformityNormalized,4.321873856396541e-05
original_glcm_JointEnergy,4.23861089138765e-05
original_glrlm_LowGrayLevelRunEmphasis,4.0989672504162265e-05
original_glszm_SizeZoneNonUniformity,4.061223976849346e-05
original_glszm_ZoneVariance,3.879209460395079e-05
original_gldm_HighGrayLevelEmphasis,3.091951140835475e-05
original_glrlm_LongRunEmphasis,2.9207401180259223e-05
original_glcm_Idn,2.814393485985673e-05
original_gldm_GrayLevelVariance,2.6901522250992244e-05
original_glszm_LargeAreaHighGrayLevelEmphasis,2.603193149728135e-05
original_glrlm_RunEntropy,2.3567937202578144e-05
original_glrlm_LongRunHighGrayLevelEmphasis,2.302817535970834e-05
original_glrlm_RunPercentage,2.0963979694392176e-05
original_glcm_Idm,1.916004381582437e-05
original_glcm_DifferenceAverage,1.6322803256306993e-05
original_gldm_SmallDependenceEmphasis,1.4744264056419484e-05
original_glcm_Idmn,1.3155675453465826e-05
original_glcm_Correlation,5.911065133970429e-06
original_glcm_Contrast,5.2325557135538506e-06
original_ngtdm_Complexity,5.032513866992754e-06
original_glcm_Autocorrelation,4.201225616482535e-06
original_glcm_DifferenceEntropy,3.6254922580734144e-06
original_glcm_Imc1,2.1523314513075924e-06
original_glcm_Id,9.570566838944012e-07
original_glcm_SumAverage,3.812824254983088e-17
original_glcm_DifferenceVariance,3.21831159761455e-17
original_gldm_LargeDependenceEmphasis,5.789202336085553e-18
original_glcm_JointAverage,4.8740864206437e-18
original_glszm_ZonePercentage,0.0
